region,NPVR,num,anat,n,timepoint,hemisphere,NPVR_CI_low,NPVR_CI_high
BrainSegVolNotVent,0.030355567143098408,2903.2051037474494,95639.95592839771,178,pd_baseline & pd_followup,,0.029483948689227147,0.0312534045728248
WhiteSurfArea,0.05499180975526051,424.8814731923486,7726.2682403665485,178,pd_baseline & pd_followup,,0.05341279540285166,0.05661832211439103
bankssts,0.18101606935983236,26.58935165502809,146.88945433994874,178,pd_baseline & pd_followup,,0.17581844133471597,0.186370046167021
caudalanteriorcingulate,0.1647147073328965,22.45851058047968,136.34793725547487,178,pd_baseline & pd_followup,,0.15998515054818666,0.169586532944744
caudalmiddlefrontal,0.12583558157545655,44.34624282142554,352.4141762306998,178,pd_baseline & pd_followup,,0.12222238553343408,0.12955746542619265
cuneus,0.14685889923029916,31.038729953567852,211.35069182899136,178,pd_baseline & pd_followup,,0.14264204747190756,0.15120259724113858
eTIV,0.0006346649567915701,101.36746161594382,159718.0694021426,178,pd_baseline & pd_followup,,0.0006164414235017066,0.0006534366684468639
entoinalarea,0.3545317208284646,28.466740285928108,80.2939162098315,178,pd_baseline & pd_followup,,0.3443518289852288,0.3650178319093269
frontalpole,0.41438964751951457,15.352544207915733,37.04857083137615,178,pd_baseline & pd_followup,,0.4024910174537826,0.4266461978346595
fusiform,0.15163437991290954,55.612785530252665,366.75578165184965,178,pd_baseline & pd_followup,,0.1472804067800614,0.15611932401813325
inferiorparietal,0.09445987338014004,59.94392932500629,634.5967571200381,178,pd_baseline & pd_followup,,0.09174758774237386,0.0972537467256159
inferiortemporal,0.16024906837583308,68.7852700445963,429.23974998265703,178,pd_baseline & pd_followup,,0.1556477362856234,0.1649888121924568
insula,0.3202217175859146,87.54697872083347,273.39488208617473,178,pd_baseline & pd_followup,,0.31102699040251247,0.3296930294709662
isthmuscingulate,0.14144492109207824,25.208216838901187,178.21931423392056,178,pd_baseline & pd_followup,,0.13738352428637732,0.1456284879416944
lateraloccipital,0.09338069188962621,57.76687965850059,618.6169591330474,178,pd_baseline & pd_followup,,0.0906993934674101,0.09614264589947959
lateralorbitofrontal,0.30497310482713946,94.54029595014252,309.99551912529637,178,pd_baseline & pd_followup,,0.296216220633586,0.31399340305720996
lingual,0.12722975412906293,49.04904610633348,385.5155300903727,178,pd_baseline & pd_followup,,0.12357652633537278,0.13099287391837414
medialorbitofrontal,0.27740186507309444,65.05963881919693,234.532088679555,178,pd_baseline & pd_followup,,0.2694366511933403,0.2856066789171066
middletemporal,0.13986093559780743,60.862335911335755,435.1632258942924,178,pd_baseline & pd_followup,,0.13584502076188695,0.14399765234384307
paracentral,0.14370809069171678,28.081644379921563,195.40753930244907,178,pd_baseline & pd_followup,,0.13958171007668735,0.1479585961152952
parahippocampal,0.2654120544352729,21.17248983569709,79.77214855876304,178,pd_baseline & pd_followup,,0.25779111151448597,0.27326224137624544
parsopercularis,0.17578133453050115,36.372226361268666,206.91745490734937,178,pd_baseline & pd_followup,,0.1707340147324345,0.18098048171970538
parsorbitalis,0.2011263650931187,21.362384852897026,106.21374697945015,178,pd_baseline & pd_followup,,0.19535129752317978,0.20707515128558732
parstriangularis,0.1530220317964374,32.02385097259467,209.27608003006688,178,pd_baseline & pd_followup,,0.14862821414401464,0.15754801897605297
pericalcarine,0.19239477342495387,46.11427558942485,239.68569815339777,178,pd_baseline & pd_followup,,0.18687042152748992,0.19808530221825055
postcentral,0.1394965621714637,67.1722623602657,481.53346085834147,178,pd_baseline & pd_followup,,0.13549110981845464,0.14362250171478633
posteriorcingulate,0.16041715427707975,27.91488521859802,174.01433995258492,178,pd_baseline & pd_followup,,0.15581099583087837,0.1651618696303194
precentral,0.11549768280793152,63.27022966585955,547.8051864562137,178,pd_baseline & pd_followup,,0.1121813253424229,0.11891379894184484
precuneus,0.12795864256796213,54.39277447693016,425.08089633758624,178,pd_baseline & pd_followup,,0.12428448574299535,0.1317433209504452
rostralanteriorcingulate,0.1939278482071092,30.8977584617435,159.32605217557824,178,pd_baseline & pd_followup,,0.18835947617109894,0.19966372129970691
rostralmiddlefrontal,0.18716407852968678,133.61344604703348,713.8840267676715,178,pd_baseline & pd_followup,,0.18178991885810986,0.19269989719556893
superiorfrontal,0.13656127773098936,124.09399074623171,908.7055482205078,178,pd_baseline & pd_followup,,0.1326401080426269,0.14060039932012494
superiorparietal,0.13756299625990923,82.8493092448628,602.2645006098056,178,pd_baseline & pd_followup,,0.1336130635986372,0.1416317460350403
superiortemporal,0.12826181430292496,51.73780467078321,403.37652287211836,178,pd_baseline & pd_followup,,0.12457895231762828,0.1320554597038795
supramarginal,0.12392097522499071,73.49926586689969,593.1140045779542,178,pd_baseline & pd_followup,,0.12036275447692661,0.1275862300812318
temporalpole,0.37904783373548495,26.46194785969004,69.81163194869032,178,pd_baseline & pd_followup,,0.36816399535334193,0.3902590666266418
transversetemporal,0.21023891545948858,11.936113610571065,56.77404482649675,178,pd_baseline & pd_followup,,0.20420219351084157,0.21645722680233984
