region,npv,num,anat,n,timepoint,npv_CI_low,npv_CI_high
3rd-Ventricle,0.037660359661151915,23.37311130101146,620.6289985361374,103,hc,0.03624378339171996,0.03913316183978944
4th-Ventricle,0.06599851553629311,39.978400994526574,605.7469727867157,103,hc,0.06351601319782263,0.06857955189237878
5th-Ventricle,0.7488682701399059,0.3942342100798857,0.526439997259109,103,hc,0.7206999512508795,0.7781546293169874
Brain-Stem,0.07354847683294498,197.64223303790382,2687.237609105357,103,hc,0.07078198634077135,0.07642477323291727
BrainSegVol,0.022996608533189668,2720.0148408169352,118278.95565084286,103,hc,0.022131602191810065,0.023895948195733933
BrainSegVol-to-eTIV,0.04750564591341403,0.0016856292100936184,0.03548271321614958,103,hc,0.04571874394884258,0.049363472536111744
BrainSegVolNotVent,0.02367518438897832,2726.6544707731664,115169.30242125275,103,hc,0.022784653743981635,0.02460106145073408
CC_Anterior,0.2214583707852539,37.32421081042919,168.53827054757,103,hc,0.21312832095184614,0.23011905204015146
CC_Central,0.24426294278559602,31.42396547182752,128.64810811441907,103,hc,0.23507510997239478,0.25381545363604696
CC_Mid_Anterior,0.2683092184571904,30.47173963699569,113.56948453807058,103,hc,0.25821689657933117,0.2788021188184132
CC_Mid_Posterior,0.2913987075816766,33.84351766330941,116.14161896659532,103,hc,0.28043788570378164,0.3027945799323371
CC_Posterior,0.330715093930141,59.48896338105374,179.87979524641827,103,hc,0.31827540513748037,0.34364853150830266
CSF,0.13348493775512327,37.86077891808084,283.6333413702155,103,hc,0.12846396618576342,0.138705198764575
CerebralWhiteMatterVol,0.03197228116326457,1874.725902654079,58635.975740389054,103,hc,0.030769659223830285,0.03322263686291662
CortexVol,0.025734865966611252,1239.9208449892374,48180.58297245172,103,hc,0.024766861392217374,0.02674129200724377
EstimatedTotalIntraCranialVol,0.00046160702733961083,75.91044004576817,164448.18980175487,103,hc,0.00044424390158574696,0.00047965932003296677
Left-Accumbens-area,0.26840845174749706,26.236534270844217,97.74853995851818,103,hc,0.2583123972572716,0.27890523287373303
Left-Amygdala,0.1962607398359061,50.67921009715616,258.22388186006594,103,hc,0.188878486740764,0.2039360049638041
Left-Caudate,0.09954021029558605,44.62072761715559,448.2683679756524,103,hc,0.09579605328201277,0.10343297817949458
Left-Cerebellum-Cortex,0.08262712305962265,482.9778015593509,5845.269491119041,103,hc,0.07951914366721034,0.08585846253571094
Left-Cerebellum-White-Matter,0.24335487616695547,522.687485720152,2147.840610194136,103,hc,0.23420119984175922,0.25287187481023915
Left-Hippocampus,0.12768266687125324,61.21682733706339,479.44508708288805,103,hc,0.12287994492342807,0.13267601562400594
Left-Inf-Lat-Vent,0.10446529064100248,32.870374411704624,314.65354865727096,103,hc,0.10053587910503123,0.1085506660604725
Left-Lateral-Ventricle,0.014435689411505312,111.14520992118469,7699.335082161122,103,hc,0.013892697914949775,0.015000233006061875
Left-Pallidum,0.21364767919960762,54.03867298005989,252.93358290858112,103,hc,0.20561142476400354,0.2220029039031735
Left-Putamen,0.1276654641749334,79.3279734571326,621.3737910233386,103,hc,0.12286338929823545,0.13265814017339364
Left-Thalamus,0.16202844817511716,147.3396627149727,909.3444044821739,103,hc,0.15593382622453283,0.16836497426304328
Left-VentralDC,0.15579259470494408,71.17671497262465,456.8684096148882,103,hc,0.14993253137581164,0.16188525220905503
Left-WM-hypointensities,,0.0,0.0,103,hc,,
Left-choroid-plexus,0.209275651310789,46.24785204547358,220.99012358008278,103,hc,0.20140384859610103,0.21745989697279366
Left-non-WM-hypointensities,,0.0,0.0,103,hc,,
Left-vessel,0.17588138924402255,7.6072813180222925,43.2523381280992,103,hc,0.16926569559479765,0.18275966910090877
MaskVol,0.013277654392816782,2117.0181384029556,159442.17824710542,103,hc,0.012778221825103275,0.013796910143236732
MaskVol-to-eTIV,0.034826980687236414,0.0013126841951024205,0.03769158764840905,103,hc,0.033516980601698325,0.03618897652299153
Optic-Chiasm,0.3569079748407826,14.736513161677756,41.28939166532142,103,hc,0.3434830534624559,0.37086575027490426
Right-Accumbens-area,0.22178506464984343,21.86032597379002,98.56536556374222,103,hc,0.2134427263842457,0.2304585220821287
Right-Amygdala,0.20350359137039703,50.48865014611994,248.09709649902695,103,hc,0.19584890190717202,0.21146210624990452
Right-Caudate,0.13336000690049948,58.73083413054766,440.39315455620067,103,hc,0.12834373454499665,0.13857538217767132
Right-Cerebellum-Cortex,0.06929430838139368,427.99811122893294,6176.526200005415,103,hc,0.06668783638423326,0.07200423492669358
Right-Cerebellum-White-Matter,0.27053885006372563,537.0463466166948,1985.0988000067018,103,hc,0.2603626616680792,0.28111894572306056
Right-Hippocampus,0.15022192810342352,71.61599751608607,476.7346446703872,103,hc,0.14457140271242105,0.1560967308132361
Right-Inf-Lat-Vent,0.10361155493134762,29.63843985859715,286.05342211334823,103,hc,0.09971425625243735,0.1076635428891876
Right-Lateral-Ventricle,0.01139779638237159,79.4511691359695,6970.748245586551,103,hc,0.010969073767283554,0.011843535602460343
Right-Pallidum,0.2189607722915936,52.782750176607166,241.06030328718205,103,hc,0.2107246684212229,0.22752377873573734
Right-Putamen,0.19624211501351443,114.57877989636306,583.8643753328507,103,hc,0.188860562482086,0.2039166517713373
Right-Thalamus,0.18914388581965455,157.1520377051844,830.8597289527305,103,hc,0.1820293297567007,0.1965408286427607
Right-VentralDC,0.13942744137092422,69.82121973203638,500.7710035091893,103,hc,0.1341829453934361,0.1448800987873848
Right-WM-hypointensities,,0.0,0.0,103,hc,,
Right-choroid-plexus,0.18590333089387195,41.21226557598963,221.68653664154513,103,hc,0.17891066674190773,0.1931735437441996
Right-non-WM-hypointensities,,0.0,0.0,103,hc,,
